Entity,Average Sentiment,Frequency
kg gold,-0.6799999999999999,2
agrarian university,-0.4428666666666667,3
dia,-0.4201,2
namangan,-0.34708333333333335,6
aziz voitov,-0.28459999999999996,2
margilan,-0.28076666666666666,3
competition committee,-0.2679333333333333,3
adolat party,-0.26335,2
paraguay,-0.25899999999999995,3
taliban,-0.23026666666666665,3
jizzakh,-0.18768333333333334,6
bukhara oil refinery,-0.148,2
customs,-0.11068333333333331,6
abdusalom azizov,-0.10805000000000003,2
doc,-0.052500000000000005,5
kyrgyzstan,-0.05135,2
education ministry,0.0,2
tanzila narbayeva,0.0,3
peoples artist,0.0,2
bobomurod hamdamov,0.0,2
mikhail mishustin,0.0,2
damas,0.0,2
american university,0.0,2
vladimir putin,0.0,5
uzbekistan kazakhstan,0.0,4
chevrolet,0.0,3
uzbekistan airways,0.018830000000000006,10
ebrd,0.022499999999999992,2
kazakhstan,0.026924999999999977,4
eu,0.03232857142857143,7
max,0.032716666666666665,6
central bank,0.05965999999999999,5
uzbekistan,0.062137500000000005,8
akfa university,0.064,2
airbus,0.06846666666666666,3
uzauto motors,0.07136666666666668,3
komil allamjonov,0.09879999999999999,7
mirziyoyev,0.10879782608695654,46
un,0.11689285714285713,14
shavkat mirziyoyev,0.12129538461538461,65
legislative chamber,0.12824999999999998,2
ots,0.1468,3
senate,0.1476333333333333,27
uzbekistan seeks,0.148,2
hyundai,0.16463333333333333,3
uzbekistan uae discuss,0.16463333333333333,3
uzbekistan egypt,0.16463333333333333,3
ilham aliyev,0.17,2
putin,0.177325,4
park uzbekistan,0.1909,2
mirziyoyev tokayev,0.1909,2
uzbek,0.21619999999999998,3
antnio guterres,0.2294,2
mishustin,0.24695,2
kyrgyzstan kazakhstan,0.24695,2
uzbekistan spain,0.24695,2
supreme court,0.250575,4
fifa,0.2654666666666667,3
health ministry,0.2997,2
un general assembly,0.2999,3
uzbekistan pakistan,0.315,3
uzbekistan germany,0.3265,4
uzbekistan russia,0.33109999999999995,3
nmmc,0.3316666666666667,3
uzbekistan kuwait,0.35109999999999997,3
uzbekistan oman,0.374875,4
slovakia,0.389,2
